2013-03-02 16:30:51,362 INFO date = Tue Feb 12 14:34:26 2013 | lat = 47.589136 | long = -122.245166 | alt = 65.507080 | dist = 360.642059 | hr = 120
2013-03-02 16:30:51,362 INFO date = Tue Feb 12 14:34:27 2013 | lat = 0.000000 | long = 0.000000 | alt = 65.507080 | dist = 0.000000 | hr = 0
2013-03-02 16:30:51,362 INFO date = Tue Feb 12 14:34:34 2013 | lat = 0.000000 | long = 0.000000 | alt = 65.507080 | dist = 0.000000 | hr = 0
2013-03-02 16:30:51,363 INFO date = Tue Feb 12 14:34:35 2013 | lat = 47.589159 | long = -122.245181 | alt = 62.142334 | dist = 360.642059 | hr = 102
2013-03-02 16:30:51,363 INFO date = Tue Feb 12 14:34:36 2013 | lat = 47.589172 | long = -122.245183 | alt = 60.700317 | dist = 362.102600 | hr = 100
2013-03-02 16:30:51,363 INFO date = Tue Feb 12 14:34:37 2013 | lat = 47.589189 | long = -122.245182 | alt = 59.739136 | dist = 364.084717 | hr = 100
2013-03-02 16:30:51,363 INFO date = Tue Feb 12 14:34:42 2013 | lat = 47.589319 | long = -122.245153 | alt = 61.661743 | dist = 378.807068 | hr = 97
2013-03-02 16:30:51,364 INFO date = Tue Feb 12 14:34:47 2013 | lat = 47.589431 | long = -122.245126 | alt = 61.181030 | dist = 391.476379 | hr = 103
2013-03-02 16:30:51,364 INFO date = Tue Feb 12 14:34:48 2013 | lat = 47.589458 | long = -122.245127 | alt = 60.700317 | dist = 394.490234 | hr = 108
2013-03-02 16:30:51,364 INFO date = Tue Feb 12 14:34:49 2013 | lat = 47.589473 | long = -122.245127 | alt = 61.661743 | dist = 396.243927 | hr = 108
2013-03-02 16:30:51,364 INFO date = Tue Feb 12 14:34:54 2013 | lat = 47.589585 | long = -122.245135 | alt = 61.181030 | dist = 408.758209 | hr = 108
2013-03-02 16:30:51,364 INFO date = Tue Feb 12 14:34:58 2013 | lat = 47.589686 | long = -122.245127 | alt = 62.142334 | dist = 419.790680 | hr = 117
2013-03-02 16:30:51,365 INFO date = Tue Feb 12 14:35:01 2013 | lat = 47.589770 | long = -122.245127 | alt = 62.142334 | dist = 429.127411 | hr = 127
2013-03-02 16:30:51,365 INFO date = Tue Feb 12 14:35:07 2013 | lat = 47.589934 | long = -122.245132 | alt = 61.661743 | dist = 447.428680 | hr = 124
2013-03-02 16:30:51,365 INFO date = Tue Feb 12 14:35:12 2013 | lat = 47.590076 | long = -122.245116 | alt = 59.258423 | dist = 463.398254 | hr = 123
2013-03-02 16:30:51,366 INFO date = Tue Feb 12 14:35:17 2013 | lat = 47.590205 | long = -122.245117 | alt = 58.777710 | dist = 477.780487 | hr = 123
2013-03-02 16:30:51,366 INFO date = Tue Feb 12 14:35:22 2013 | lat = 47.590320 | long = -122.245117 | alt = 57.816528 | dist = 490.709198 | hr = 123
2013-03-02 16:30:51,366 INFO date = Tue Feb 12 14:35:27 2013 | lat = 47.590453 | long = -122.245122 | alt = 57.335815 | dist = 505.503479 | hr = 127
2013-03-02 16:30:51,366 INFO date = Tue Feb 12 14:35:30 2013 | lat = 47.590524 | long = -122.245120 | alt = 57.335815 | dist = 513.316284 | hr = 122
2013-03-02 16:30:51,367 INFO date = Tue Feb 12 14:35:32 2013 | lat = 47.590583 | long = -122.245134 | alt = 56.855103 | dist = 520.034424 | hr = 116
2013-03-02 16:30:51,367 INFO date = Tue Feb 12 14:35:33 2013 | lat = 47.590613 | long = -122.245136 | alt = 56.855103 | dist = 523.321716 | hr = 116
2013-03-02 16:30:51,367 INFO date = Tue Feb 12 14:35:39 2013 | lat = 47.590757 | long = -122.245141 | alt = 57.816528 | dist = 539.419800 | hr = 115
2013-03-02 16:30:51,367 INFO date = Tue Feb 12 14:35:45 2013 | lat = 47.590893 | long = -122.245158 | alt = 58.297119 | dist = 554.546143 | hr = 112
2013-03-02 16:30:51,368 INFO date = Tue Feb 12 14:35:50 2013 | lat = 47.591031 | long = -122.245169 | alt = 57.335815 | dist = 569.945068 | hr = 113
2013-03-02 16:30:51,368 INFO date = Tue Feb 12 14:35:53 2013 | lat = 47.591107 | long = -122.245157 | alt = 57.335815 | dist = 578.517517 | hr = 120
2013-03-02 16:30:51,368 INFO date = Tue Feb 12 14:35:54 2013 | lat = 47.591136 | long = -122.245157 | alt = 57.335815 | dist = 581.787659 | hr = 125
2013-03-02 16:30:51,368 INFO date = Tue Feb 12 14:35:55 2013 | lat = 47.591164 | long = -122.245160 | alt = 56.374512 | dist = 584.791077 | hr = 125
2013-03-02 16:30:51,369 INFO date = Tue Feb 12 14:35:59 2013 | lat = 47.591256 | long = -122.245148 | alt = 56.855103 | dist = 594.993103 | hr = 130
2013-03-02 16:30:51,369 INFO date = Tue Feb 12 14:36:04 2013 | lat = 47.591378 | long = -122.245159 | alt = 53.971191 | dist = 608.571716 | hr = 134
2013-03-02 16:30:51,369 INFO date = Tue Feb 12 14:36:08 2013 | lat = 47.591459 | long = -122.245169 | alt = 52.048584 | dist = 617.683655 | hr = 142
2013-03-02 16:30:51,369 INFO date = Tue Feb 12 14:36:10 2013 | lat = 47.591521 | long = -122.245191 | alt = 50.125977 | dist = 624.942017 | hr = 154
2013-03-02 16:30:51,369 INFO date = Tue Feb 12 14:36:11 2013 | lat = 47.591546 | long = -122.245204 | alt = 50.606567 | dist = 627.795959 | hr = 154
2013-03-02 16:30:51,370 INFO date = Tue Feb 12 14:36:15 2013 | lat = 47.591615 | long = -122.245181 | alt = 48.203369 | dist = 635.563354 | hr = 156
2013-03-02 16:30:51,370 INFO date = Tue Feb 12 14:36:16 2013 | lat = 47.591630 | long = -122.245173 | alt = 48.203369 | dist = 637.350281 | hr = 156
2013-03-02 16:30:51,370 INFO date = Tue Feb 12 14:36:20 2013 | lat = 47.591606 | long = -122.245007 | alt = 46.761231 | dist = 650.073608 | hr = 151
2013-03-02 16:30:51,370 INFO date = Tue Feb 12 14:36:25 2013 | lat = 47.591618 | long = -122.244845 | alt = 44.838623 | dist = 662.121155 | hr = 153
2013-03-02 16:30:51,371 INFO date = Tue Feb 12 14:36:30 2013 | lat = 47.591594 | long = -122.244658 | alt = 43.877319 | dist = 676.482727 | hr = 153
2013-03-02 16:30:51,371 INFO date = Tue Feb 12 14:36:35 2013 | lat = 47.591587 | long = -122.244501 | alt = 44.838623 | dist = 688.317566 | hr = 155
2013-03-02 16:30:51,371 INFO date = Tue Feb 12 14:36:41 2013 | lat = 47.591587 | long = -122.244293 | alt = 44.838623 | dist = 703.598816 | hr = 158
2013-03-02 16:30:51,371 INFO date = Tue Feb 12 14:36:44 2013 | lat = 47.591599 | long = -122.244200 | alt = 44.838623 | dist = 710.445373 | hr = 158
2013-03-02 16:30:51,371 INFO date = Tue Feb 12 14:36:49 2013 | lat = 47.591679 | long = -122.244080 | alt = 44.358032 | dist = 722.645142 | hr = 159
2013-03-02 16:30:51,372 INFO date = Tue Feb 12 14:36:54 2013 | lat = 47.591691 | long = -122.243901 | alt = 42.916016 | dist = 736.121033 | hr = 159
